Number,Title,Category,Question,Link,BasePoints,StartTime,EndTime,AdditionalBonusInstructions,AdditionalBonusPoints
24,leaky_crypto,Cryptography,"We encrypted the flag with AES-ECB and a secret key and got the following:  b7695884638a2d5551c0a1ed35142c939a60791aba95dbaedd2994d677907602a0779b858857a3a3d04304fcde225ce7228993a1a0cd57ab37425fc7b32d4ca775053f0b39dccb6e9eb88ae40ec8aa9f
Unfortunately we lost the key. On the bright side though we did encrypt a bunch of other test flags with the same key before we lost it. Can you help us out?
File can be found at the link below",https://challenge.acsc18.com/files/leaky_crypto/codes.txt,50,1542308415,1542394815,,
25,lsb_stego,Forensics,Check out the content hosted at https://challenge.acsc18.com:5004,,40,1542308415,1542394815,,
26,man1,Linux,Did you know man pages have their own markup language? Check out the man page for tee on this alpine linux docker.,,35,1542308415,1542394815,,
27,man2,Linux,"Do you know all the things the Strings library is capable of? Well, maybe not on all OS, but on this one.",,40,1542308415,1542394815,,
28,math_machine2,Scripting,Think you're good at math? Answer 100 simple problems in 2 minutes and you'll get your flag.,,50,1542308415,1542394815,,
29,math_machine3,Scripting,"Same as last time, but just a little bit of a twist.",,65,1542308415,1542394815,,
30,obscure_security,Web Exploitation,The server guy has recently upgrade the security on the web portal to ensure that no one can get the flag. Prove him wrong,,30,1542308415,1542394815,,
31,osintfun,OSINT,Access Sandy Mills-Mills' private sftp server and find the key.,,80,1542308415,1542394815,,
32,prize,Web Exploitation,"Business has been going great and we are rapidly approaching our 1 millionth visitor. If you happen to be that lucky person, we've got a great prize for you",,45,1542308415,1542394815,,
33,shape_color,Forensics,"You were given a file that is supposed to be a picture, however, you can open it and don't know why at the moment. Normally you would just move on to something else, however, you can't except defeat and are determined to get it open. Once you finally get it open, submit the flag as the color of the shape in the jpg.
NOTE: Be sure to submit the flag in the correct format ( acsc18{lowercasecolor} )
File can be found at the link below",https://challenge.acsc18.com/files/shape_color/shape_color.jpg,45,1542308415,1542394815,,
34,stupid_stego,Forensics,"I've got an important secret that I can't let anyone else see. I'll just hide it right here.
File can be found at the link below",https://challenge.acsc18.com/files/stupid_stego/flag.jpg,20,1542308415,1542394815,,
35,stupid_stego2,Forensics,"Well that didn't work out the way I thought it would at first. Lets try to hide it this way.
File can be found at the link below",https://challenge.acsc18.com/files/stupid_stego2/stupid_stego2.jpg,50,1542308415,1542394815,,
36,survey1,Misc,"Connect to to the implant, survey your environment, and send me the flag.",,40,1542308415,1542394815,,
37,whats_going_on_here,Forensics,"The network dudes are talking about one of our systems beaconing out somewhere. The system has been checked several times already with no evidence of weirdness going on but the beacons are still happening. You've decided to involve some outside help and they've asked for the registry hives of the system. Before shipping them off, you decide to take a gander since you hadn't looked at them. Find the beacons and submit one of the IPs as the flag.
NOTE: When you submit it, submit it in the correct format though ( acsc18{YourFlag} )
File can be found at the link below",https://challenge.acsc18.com/files/whats_going_on_here/suspect_registry.zip,50,1542308415,1542394815,,
38,where_am_i2,Forensics,"Check out this fantastic new website that some company just bough. What city are they located in? NOTE: No you can't just search for the flag you cheaters. The flag is obvious when you find it, but is not currently in the correct format. When you submit it, submit it in the correct format though ( acsc18{YourFlag} )
File can be found at the link below",https://challenge.acsc18.com/files/where_am_i2/where_am_i2.pcap,25,1542308415,1542394815,,
39,who_is_this_cat?,Forensics,"Another section is in need of help looking for a potenitally rogue system and all they have is a MAC of 00:0c:29:61:c1:89. We informed them we may be able to assist them in finding the computername of the system tied to the MAC somewhere in our traffic captures but we can't make any promises.
NOTE: Be sure to submit the flag in the correct format ( acsc18{YourFlag} )
File can be found at the link below",https://challenge.acsc18.com/files/who_is_this_cat%3f/who.pcap,25,1542308415,1542394815,,
40,zippity_doo_dah,Forensics,"You were given another zip file off of the hard drive we were analyzing. We also found a text file with it called 'password.txt' and the password was 'powershell'. When we unzipped the file with the password, there was another zip, and another zip. It seems that this file is zipped over and over again with this same password.
Submit the contents of the file at the root of all the zip files NOTE: Be sure to submit the flag in the correct format ( acsc18{YourFlag} )
File can be found at the link below",https://challenge.acsc18.com/files/zippity_doo_dah/Zippity.zip,20,1542308415,1542394815,,
41,Linux1,Linux,"Find the longest line (most characters) in linux1.
Logon to 52.33.202.4 with the username 'player' using the certificate in the link below",https://challenge.acsc18.com/files/linux/player.pem,20,1542308415,1542394815,,
42,Linux2,Linux,"How many characters are there in the 3rd column of words in linux2? (Ensure you submit the flag with the acsc18{<CharacterCount>}.
Logon to 52.33.202.4 with the username 'player' using the certificate in the link below",https://challenge.acsc18.com/files/linux/player.pem,20,1542308415,1542394815,,
43,Linux3,Linux,"What is the most common 12th chacter in the file linux3.  Case Matters! (Ensure you submit the flag with the acsc18{<Character>}.
Logon to 52.33.202.4 with the username 'player' using the certificate in the link below",https://challenge.acsc18.com/files/linux/player.pem,20,1542308415,1542394815,,
44,Linux4,Linux,"What is the name of the file in the Linux4 folder with an md5 hash of 7ae8ef906919add4686419b22ea2e874.
Logon to 52.33.202.4 with the username 'player' using the certificate in the link below",https://challenge.acsc18.com/files/linux/player.pem,20,1542308415,1542394815,,
45,Linux5,Linux,"Just find the flag in the folder Linux5.
Logon to 52.33.202.4 with the username 'player' using the certificate in the link below",https://challenge.acsc18.com/files/linux/player.pem,20,1542308415,1542394815,,
46,Linux6,Linux,"What version of yum is being used on the VM?  Note:  Ensure you use the acsc18{#.#.#-###} format.
Logon to 52.33.202.4 with the username 'player' using the certificate in the link below",https://challenge.acsc18.com/files/linux/player.pem,30,1542308415,1542394815,,
47,Linux7,Linux,"The flag is contained in a file somewhere on the system (Not in the users folder).
Logon to 52.33.202.4 with the username 'player' using the certificate in the link below",https://challenge.acsc18.com/files/linux/player.pem,20,1542308415,1542394815,,
